id,category,item,value,unit,source,page,confidence,note
SP-001,Identity,Model / chassis code,FB (US 1981-85); VIN prefix JM1FB33,,"S-006,S-005,S-024",S-006 PDF p.7 (VIN decode); S-005 group 1840A (VIN ranges FB331..600001-),primary,"17-digit VIN from 1981: J=Japan, M=Mazda, 1=passenger car, FB=RX-7, body code, check digit, year code (B=1981, C=1982), plant, serial from 500001. Parts catalogue VIN ranges read FB331..600001-622565 (thru Oct 1981 production) and FB331..622566- (from Nov 1981). 1979-80 cars were SA22C."
SP-002,Identity,VIN model-year code for 1982,C (10th character),,S-006,PDF p.7,primary,"Year A=1980, B=1981, C=1982 per Mazda training manual."
SP-003,Identity,Engine model,12A,,"S-002,S-006",S-002 p.1-3; S-006 PDF p.37 (printed 47),primary,"Twin-rotor carburetted rotary, longitudinal, catalyst-equipped from 1981."
SP-004,Identity,Trim (this car),GS,,S-004,p.15,primary,"GS adds to S: halogen headlamps, tinted glass, 4-speaker AM/FM with amp, digital clock, electric remote mirrors, cargo light, electric hatch release, map light, storage console, 185/70HR13 tyres. GSL (not this car) adds 4-wheel discs, LSD, sunroof, power windows, cruise."
SP-005,Identity,Transmission (this car),3-speed automatic (JATCO 3N71B type),,"S-004,S-002,S-024",S-004 p.14; S-002 p.7B-3,primary,"Brochure: '3-speed automatic optional for GS and GSL'. 1985 FSM p.7B-3 describes the 1985 L4N71B as the 'conventional model 3N71B' plus overdrive, confirming the earlier unit; Wikipedia names JATCO 3N71B."
SP-006,Identity,Alternator Mazda part number (1981-83 service unit),N221-18-300R (remanufactured),,S-005,Engine-Chassis p.1-J5 (group 1830A),primary,"1982-83 internals carry N221-24-xxx numbers (stator N221-24-501, rectifier N221-24-510, regulator N221-24-520, rotor N221-24-540, pulley N221-24-530); 1981 used 8173-24-xxx. Amp rating not printed in the catalogue."
SP-007,Identity,Starter Mazda part number (A/T),N202-18-400R (remanufactured),,S-005,Engine-Chassis group 1840A,primary,M/T starter is N221-18-400R. Catalogue also lists automatic transmission complete 8872-19-090B ('81 & '82 models) and torque converter 1758-19-100.
SP-008,Identity,Ignition coil Mazda part numbers,"1480-18-100 (Hanshin) or 8245-18-100 (Mitsubishi), qty 2",,S-005,Engine-Chassis group 1800A,primary,Leading and trailing coils share one part number; two makers were fitted.
SP-009,Identity,Spark plug Mazda part number,"N201-18-600 (NGK BR8EQ-14 or Denso W25EDR-14), qty 4",,S-005,Engine-Chassis group 1800A,primary,
SP-010,Engine,Displacement,573 x 2 (1146 total),cc,"S-002,S-006,S-003",S-002 p.1-3; S-006 PDF p.37 (printed 47); S-003 T:1,primary,35.0 cu in x 2.
SP-011,Engine,Compression ratio,9.4:1,,"S-004,S-006,S-002",S-004 p.14; S-006 PDF p.37 (printed 47); S-002 p.1-3,primary,
SP-012,Engine,"Maximum power (SAE net), 1981-82 rating",100 @ 6000,hp @ rpm,"S-004,S-006",S-004 p.14; S-006 PDF p.37 (printed 47),primary,"1983-85 12A re-rated 101 hp @ 6000 (S-002 p.1-3, S-015). Same engine; rating change only."
SP-013,Engine,"Maximum torque (SAE net), 1981-82 rating",105 @ 4000,lb-ft @ rpm,"S-004,S-006",S-004 p.14; S-006 PDF p.37 (printed 47),primary,1983-85 rated 107 lb-ft @ 4000 (S-002 p.1-3).
SP-014,Engine,"Compression pressure, standard",7-9 (100-128),kg/cm2 (psi),S-006,PDF p.37 (printed 47),primary,"Table prints '@ 2500 rpm' for the 12A standard value; the limit row and all other engines say 250 rpm cranking, and S-002 p.1-12 specifies cranking speed 240-250 rpm - treat as 250 rpm cranking."
SP-015,Engine,"Compression pressure, minimum limit",6 (85) @ 250 rpm cranking,kg/cm2 (psi),"S-006,S-002,S-003",S-006 PDF p.37 (printed 47); S-002 p.1-12; S-003 T:1,primary,
SP-016,Engine,"Compression, max difference between chambers",1.5 (21),kg/cm2 (psi),"S-002,S-003",S-002 p.1-12; S-003 T:1,primary,Cranking speed 240-250 rpm with Mazda tester 49 0820 280K.
